sku,name,brand,color,size,mrp,price,quantity
TSHIRT-001,Classic Cotton T-Shirt,StreamThreads,Navy,L,899,699,15
TSHIRT-002,V-Neck Premium Tee,StreamThreads,White,M,799,599,25
TSHIRT-003,Round Neck Basic Tee,StreamThreads,Black,S,699,499,30
TSHIRT-004,Graphic Print T-Shirt,UrbanEdge,Red,XL,999,749,20
TSHIRT-005,Striped Casual Tee,UrbanEdge,Blue,L,849,649,18
POLO-006,Classic Polo Shirt,StreamThreads,Green,M,1299,999,12
POLO-007,Sports Polo,FitZone,Navy,L,1499,1699,15
POLO-008,Embroidered Polo,StyleCraft,White,XL,1799,1399,8
,Heritage Polo Shirt,StreamThreads,Maroon,M,1299,999,10
JEANS-010,Slim Fit Denim,DenimWorks,Blue,32,1999,1599,22
JEANS-011,Straight Fit Jeans,DenimWorks,Black,34,2199,1799,-5
JEANS-012,Skinny Fit Jeans,TrendDenim,Grey,30,2499,1999,15
JEANS-013,Relaxed Fit Jeans,,Blue,36,1899,1499,20
JEANS-014,Distressed Denim,TrendDenim,Black,32,2799,2199,10
DRESS-015,Floral Summer Dress,BloomWear,Pink,M,2499,1999,12
DRESS-016,Evening Gown,ElegantWear,Black,L,4999,3999,5
DRESS-017,Maxi Dress,BloomWear,Blue,S,2899,2299,8
DRESS-018,Cocktail Dress,ElegantWear,Red,M,2999,3499,6
DRESS-019,A-Line Dress,BloomWear,Yellow,L,2699,2099,10
DRESS-020,,StyleCraft,Green,M,2999,2399,7
SHOE-021,Running Sneakers,StrideLab,White,UK8,2999,2499,25
SHOE-022,Canvas Shoes,StrideLab,Navy,UK7,1999,1599,30
SHOE-023,Formal Leather Shoes,ClassicFoot,Black,UK9,3999,3299,15
SHOE-024,,StrideLab,Grey,UK8,2499,1999,20
SHOE-025,High-Top Sneakers,StrideLab,Red,UK10,3299,2699,12
KURTA-026,Cotton Kurta,Ethniq,White,M,1599,1299,18
KURTA-027,Silk Kurta,Ethniq,Blue,L,2499,1999,10
KURTA-028,Printed Kurta,TraditionWear,Maroon,XL,1799,1449,-10
KURTA-029,Embroidered Kurta,Ethniq,Cream,M,2199,1799,12
KURTA-030,Short Kurta,TraditionWear,Black,S,1499,1199,20
SAREE-031,Silk Saree,Ethniq,Red,Free,6999,5999,5
SAREE-032,Cotton Saree,TraditionWear,Blue,Free,2999,2499,8
SAREE-033,Designer Saree,Ethniq,Pink,Free,8999,7499,3
